id,production_run_id,workstation_id,product_id,unit_sequence,defect_type,defect_code,defect_description,severity,detected_timestamp,is_reworkable,was_reworked
274,39,3,3,169,Weld Defect,WLD-4951,Weld spatter,Moderate,2024-01-05 04:08:03,0,0
275,39,3,1,240,Weld Defect,WLD-6543,Weld spatter,Minor,2024-01-04 22:25:51,1,1
276,39,1,3,51,Weld Defect,WLD-4839,Porosity,Minor,2024-01-05 00:09:28,1,1
277,39,1,1,275,Weld Defect,WLD-4390,Incomplete weld,Minor,2024-01-05 03:17:28,1,1
278,40,15,3,237,Cosmetic,COS-1222,Stain,Moderate,2024-01-04 06:22:34,1,0
279,40,16,2,51,Cosmetic,COS-7662,Scuff mark,Minor,2024-01-04 07:56:16,1,1
280,40,15,2,31,Cosmetic,COS-7124,Dent,Minor,2024-01-04 07:24:43,1,0
281,40,20,1,149,Cosmetic,COS-3048,Dent,Moderate,2024-01-04 07:09:53,0,0
282,40,20,2,101,Paint Defect,PNT-2264,Orange peel,Minor,2024-01-04 07:30:44,1,1
283,40,17,3,298,Cosmetic,COS-4251,Dent,Minor,2024-01-04 11:57:16,1,1
284,40,16,3,154,Cosmetic,COS-6190,Scratch,Moderate,2024-01-04 12:33:16,0,0
285,40,22,3,300,Paint Defect,PNT-5168,Color mismatch,Moderate,2024-01-04 12:30:38,1,0
286,40,17,1,107,Paint Defect,PNT-1687,Orange peel,Moderate,2024-01-04 12:02:03,0,0
287,40,18,3,244,Cosmetic,COS-1189,Dent,Major,2024-01-04 10:30:17,1,1
288,40,17,2,216,Paint Defect,PNT-9738,Runs/sags,Moderate,2024-01-04 08:13:25,1,1
289,41,16,3,162,Cosmetic,COS-4872,Dent,Minor,2024-01-04 17:29:24,1,1
290,41,17,2,101,Cosmetic,COS-7960,Scuff mark,Major,2024-01-04 16:08:42,1,1
291,41,15,2,258,Paint Defect,PNT-4180,Color mismatch,Major,2024-01-04 17:20:01,1,0
292,41,18,2,182,Paint Defect,PNT-5603,Dirt inclusion,Moderate,2024-01-04 14:26:17,1,1
293,41,19,2,223,Cosmetic,COS-4617,Stain,Minor,2024-01-04 15:35:48,1,0
294,41,21,3,198,Paint Defect,PNT-9758,Runs/sags,Moderate,2024-01-04 20:22:01,1,1
295,41,16,1,155,Cosmetic,COS-3192,Stain,Moderate,2024-01-04 17:08:38,0,0
296,41,19,1,285,Cosmetic,COS-7089,Scratch,Minor,2024-01-04 16:54:25,1,1
297,41,16,2,134,Paint Defect,PNT-8484,Orange peel,Minor,2024-01-04 16:46:57,1,1
298,41,17,2,288,Cosmetic,COS-5900,Stain,Minor,2024-01-04 17:31:34,1,1
299,41,22,3,283,Paint Defect,PNT-1435,Overspray,Major,2024-01-04 20:46:27,1,0
300,41,18,1,153,Cosmetic,COS-5713,Dent,Moderate,2024-01-04 19:57:44,1,1
301,42,21,2,145,Paint Defect,PNT-2267,Overspray,Moderate,2024-01-05 01:21:00,1,0
302,42,15,3,263,Cosmetic,COS-5544,Stain,Moderate,2024-01-05 00:01:36,0,0
303,42,20,3,20,Paint Defect,PNT-7842,Orange peel,Moderate,2024-01-04 22:07:20,1,1
304,42,19,2,242,Cosmetic,COS-7179,Scratch,Minor,2024-01-04 22:01:16,1,1
305,42,18,3,288,Cosmetic,COS-1618,Scuff mark,Moderate,2024-01-05 01:12:53,1,1
306,43,28,2,105,Cosmetic,COS-3172,Scuff mark,Moderate,2024-01-04 11:12:17,1,1
307,43,35,2,91,Electrical,ELC-4953,Module not responding,Minor,2024-01-04 10:12:52,1,1
308,43,33,1,108,Fit/Finish,FIT-1480,Gap too wide,Moderate,2024-01-04 10:00:05,1,1
309,43,23,3,323,Torque,TRQ-3451,Cross-threaded,Minor,2024-01-04 10:55:30,1,1
310,43,32,3,269,Electrical,ELC-6800,Wire harness damage,Moderate,2024-01-04 09:20:58,1,0
311,44,36,1,237,Missing Part,MIS-9930,Component missing,Minor,2024-01-04 19:36:09,1,1
312,44,30,1,328,Cosmetic,COS-1195,Scratch,Minor,2024-01-04 20:03:56,1,0
313,44,33,3,115,Electrical,ELC-7744,Connector fault,Major,2024-01-04 17:31:52,0,0
314,44,25,1,56,Missing Part,MIS-1891,Clip not installed,Minor,2024-01-04 20:08:41,1,0
315,45,30,3,44,Fit/Finish,FIT-1182,Gap too wide,Minor,2024-01-05 04:23:24,1,1
316,45,26,2,320,Cosmetic,COS-9904,Stain,Critical,2024-01-05 04:12:25,1,1
317,45,23,3,194,Cosmetic,COS-9396,Scratch,Minor,2024-01-05 04:57:20,1,1
318,45,36,2,318,Fit/Finish,FIT-8624,Flush issue,Minor,2024-01-05 02:13:12,1,0
319,45,33,2,86,Electrical,ELC-4790,Connector fault,Moderate,2024-01-05 02:36:38,1,1
320,45,26,1,70,Torque,TRQ-5799,Under-torque,Critical,2024-01-05 00:42:55,0,0
321,45,26,2,204,Cosmetic,COS-3028,Stain,Major,2024-01-05 04:42:40,0,0
322,45,23,3,161,Cosmetic,COS-6936,Scratch,Moderate,2024-01-04 23:12:36,1,0
323,45,30,1,259,Electrical,ELC-9424,Connector fault,Minor,2024-01-05 00:59:31,0,0
324,46,49,1,266,Electrical,ELC-4873,Connector fault,Critical,2024-01-04 06:35:35,0,0
325,46,40,2,82,Cosmetic,COS-8823,Stain,Moderate,2024-01-04 12:21:00,0,0
326,46,40,1,192,Missing Part,MIS-6445,Fastener missing,Minor,2024-01-04 11:33:34,1,1
327,47,40,3,202,Fluid Leak,LKG-9797,Fuel system leak,Minor,2024-01-04 20:36:56,1,0
328,47,45,3,131,Fit/Finish,FIT-3277,Door sag,Moderate,2024-01-04 17:50:58,0,0
329,47,37,3,283,Electrical,ELC-5824,Module not responding,Minor,2024-01-04 19:45:05,1,1
330,47,49,2,130,Torque,TRQ-9656,Cross-threaded,Minor,2024-01-04 20:08:55,1,1
331,47,46,2,211,Fit/Finish,FIT-3852,Flush issue,Moderate,2024-01-04 15:29:03,1,1
332,48,39,3,163,Fluid Leak,LKG-6650,Oil leak,Minor,2024-01-05 01:47:36,1,1
333,48,49,2,255,Cosmetic,COS-4098,Stain,Minor,2024-01-05 00:01:20,1,1
334,48,49,2,75,Fit/Finish,FIT-2358,Flush issue,Moderate,2024-01-05 03:27:31,1,1
335,48,40,1,234,Torque,TRQ-9652,Cross-threaded,Minor,2024-01-05 03:09:43,1,1
336,49,10,3,165,Fit/Finish,FIT-7532,Flush issue,Major,2024-01-05 07:40:33,0,0
337,49,7,3,304,Weld Defect,WLD-1369,Incomplete weld,Moderate,2024-01-05 06:13:34,0,0
338,49,3,2,119,Cosmetic,COS-1505,Scuff mark,Minor,2024-01-05 11:22:02,1,1
339,49,6,3,152,Cosmetic,COS-4057,Dent,Major,2024-01-05 12:35:02,1,1
340,49,2,1,279,Cosmetic,COS-2395,Scratch,Minor,2024-01-05 08:21:09,1,1
341,49,8,2,228,Fit/Finish,FIT-7803,Flush issue,Moderate,2024-01-05 09:41:59,1,1
342,49,8,2,161,Fit/Finish,FIT-7750,Gap too wide,Minor,2024-01-05 06:02:52,1,0
343,49,8,3,291,Cosmetic,COS-2631,Dent,Minor,2024-01-05 12:12:02,1,1
344,49,4,2,193,Weld Defect,WLD-2764,Incomplete weld,Minor,2024-01-05 07:05:26,1,1
345,49,10,2,81,Cosmetic,COS-7180,Scratch,Major,2024-01-05 09:11:08,1,1
346,49,6,2,27,Cosmetic,COS-1217,Scuff mark,Moderate,2024-01-05 08:45:53,1,1
347,50,4,1,185,Weld Defect,WLD-2020,Crack in weld,Minor,2024-01-05 16:19:04,1,1
348,50,1,3,116,Weld Defect,WLD-6329,Incomplete weld,Minor,2024-01-05 14:59:50,1,1
349,50,10,3,92,Cosmetic,COS-9684,Scuff mark,Major,2024-01-05 17:38:37,0,0
350,50,11,1,201,Weld Defect,WLD-7310,Porosity,Minor,2024-01-05 18:38:47,1,1
351,50,2,1,27,Weld Defect,WLD-2417,Crack in weld,Moderate,2024-01-05 14:34:02,0,0
352,50,2,3,141,Fit/Finish,FIT-9495,Flush issue,Minor,2024-01-05 19:12:40,1,0
353,50,5,1,70,Cosmetic,COS-5672,Dent,Moderate,2024-01-05 17:36:55,1,1
354,50,7,1,213,Weld Defect,WLD-3588,Weld spatter,Minor,2024-01-05 15:42:10,1,1
355,50,2,3,175,Weld Defect,WLD-3061,Porosity,Minor,2024-01-05 16:04:56,1,1
356,50,5,2,116,Weld Defect,WLD-4387,Incomplete weld,Minor,2024-01-05 19:05:24,1,1
357,51,3,1,8,Fit/Finish,FIT-3098,Gap too wide,Minor,2024-01-05 23:55:35,1,0
358,51,9,1,276,Cosmetic,COS-4947,Scuff mark,Moderate,2024-01-05 22:51:24,1,1
359,51,11,2,184,Cosmetic,COS-3804,Scuff mark,Minor,2024-01-05 22:57:08,1,1
360,51,3,1,43,Weld Defect,WLD-8472,Incomplete weld,Critical,2024-01-05 22:54:17,0,0
361,51,9,1,52,Weld Defect,WLD-2872,Incomplete weld,Minor,2024-01-06 01:37:25,1,1
362,51,12,1,298,Fit/Finish,FIT-8695,Panel misalignment,Moderate,2024-01-06 02:27:51,1,1
363,51,11,2,169,Cosmetic,COS-8052,Stain,Minor,2024-01-06 02:39:52,1,1
364,51,4,3,223,Fit/Finish,FIT-2044,Panel misalignment,Minor,2024-01-06 02:28:31,1,1
365,52,17,2,271,Cosmetic,COS-1118,Scratch,Minor,2024-01-05 08:33:00,1,1
366,52,16,3,278,Cosmetic,COS-9949,Stain,Minor,2024-01-05 07:17:22,1,1
367,52,15,1,37,Paint Defect,PNT-7076,Overspray,Moderate,2024-01-05 08:53:36,1,1
368,52,17,2,253,Cosmetic,COS-9134,Stain,Moderate,2024-01-05 06:53:06,0,0
369,52,17,1,52,Paint Defect,PNT-4137,Overspray,Minor,2024-01-05 10:33:33,1,1
370,53,15,3,158,Cosmetic,COS-6762,Dent,Minor,2024-01-05 18:34:37,1,1
371,53,20,2,144,Paint Defect,PNT-9188,Orange peel,Minor,2024-01-05 16:12:01,1,1
372,53,15,2,265,Paint Defect,PNT-6421,Color mismatch,Minor,2024-01-05 16:52:14,1,1
373,53,16,1,223,Cosmetic,COS-8873,Scratch,Minor,2024-01-05 16:18:40,1,0
374,53,16,3,153,Paint Defect,PNT-3292,Overspray,Major,2024-01-05 14:43:49,1,1
375,53,17,2,21,Cosmetic,COS-6854,Stain,Major,2024-01-05 14:47:08,0,0
376,53,16,1,234,Cosmetic,COS-7507,Scuff mark,Minor,2024-01-05 17:55:11,1,1
377,53,22,2,204,Cosmetic,COS-6724,Scuff mark,Minor,2024-01-05 19:14:37,1,1
378,53,17,1,45,Paint Defect,PNT-4650,Orange peel,Minor,2024-01-05 16:24:05,1,0
379,53,14,1,38,Cosmetic,COS-3549,Scuff mark,Minor,2024-01-05 20:06:47,1,1
380,53,13,2,210,Paint Defect,PNT-4421,Runs/sags,Minor,2024-01-05 18:23:10,1,1
381,54,14,1,225,Paint Defect,PNT-9437,Runs/sags,Minor,2024-01-06 00:25:51,1,1
382,54,18,3,171,Cosmetic,COS-9542,Stain,Minor,2024-01-06 03:28:55,1,1
383,54,13,3,1,Paint Defect,PNT-8421,Color mismatch,Moderate,2024-01-06 03:22:40,1,1
384,54,21,2,70,Paint Defect,PNT-5272,Runs/sags,Minor,2024-01-06 03:05:27,1,1
385,55,33,2,294,Missing Part,MIS-2878,Fastener missing,Minor,2024-01-05 08:02:47,1,1
386,55,29,3,313,Electrical,ELC-1664,Module not responding,Minor,2024-01-05 09:11:10,1,1
387,55,31,3,302,Fit/Finish,FIT-2432,Flush issue,Moderate,2024-01-05 10:15:13,1,0
388,55,32,3,10,Missing Part,MIS-9088,Component missing,Moderate,2024-01-05 12:09:57,1,1
389,55,35,1,214,Torque,TRQ-7652,Cross-threaded,Moderate,2024-01-05 06:21:39,1,1
390,55,36,2,159,Missing Part,MIS-3035,Component missing,Moderate,2024-01-05 08:46:31,0,0
391,55,26,3,240,Fit/Finish,FIT-3405,Panel misalignment,Minor,2024-01-05 12:00:43,1,1
392,55,27,2,52,Fit/Finish,FIT-3708,Flush issue,Moderate,2024-01-05 09:45:06,1,1
393,55,28,2,311,Torque,TRQ-3846,Over-torque,Moderate,2024-01-05 07:50:18,1,1
394,55,23,3,123,Torque,TRQ-3054,Over-torque,Moderate,2024-01-05 07:08:46,1,1
395,56,31,3,176,Torque,TRQ-2165,Under-torque,Major,2024-01-05 16:40:36,0,0
396,56,31,3,206,Fit/Finish,FIT-5894,Flush issue,Minor,2024-01-05 17:12:19,1,1
397,56,23,3,185,Electrical,ELC-3663,Module not responding,Major,2024-01-05 16:40:21,0,0
398,56,36,1,309,Torque,TRQ-9667,Cross-threaded,Moderate,2024-01-05 15:47:36,1,1
399,56,33,3,241,Fit/Finish,FIT-1256,Door sag,Moderate,2024-01-05 19:25:41,1,1
400,56,34,3,262,Cosmetic,COS-8773,Stain,Minor,2024-01-05 17:21:27,1,1
401,57,29,3,205,Fit/Finish,FIT-4428,Panel misalignment,Moderate,2024-01-05 22:55:33,1,1
402,57,24,1,37,Missing Part,MIS-8635,Component missing,Minor,2024-01-06 00:22:01,1,1
403,57,31,1,172,Electrical,ELC-3150,Connector fault,Major,2024-01-06 03:15:50,1,1
404,57,23,1,52,Torque,TRQ-5761,Cross-threaded,Moderate,2024-01-05 23:39:05,1,1
405,57,34,3,137,Fit/Finish,FIT-7647,Door sag,Minor,2024-01-06 02:45:27,1,1
406,57,28,3,141,Cosmetic,COS-1809,Dent,Minor,2024-01-06 03:59:21,1,1
407,57,32,3,304,Torque,TRQ-9635,Over-torque,Major,2024-01-06 02:43:11,0,0
408,57,33,2,34,Fit/Finish,FIT-4470,Door sag,Minor,2024-01-06 00:56:24,1,1
409,57,25,2,84,Electrical,ELC-1826,Wire harness damage,Minor,2024-01-06 04:43:58,1,1
410,57,33,3,156,Cosmetic,COS-7092,Scuff mark,Minor,2024-01-05 23:29:27,1,0
411,58,46,1,58,Fit/Finish,FIT-9310,Door sag,Moderate,2024-01-05 12:35:26,1,1
412,58,42,3,113,Cosmetic,COS-2331,Stain,Moderate,2024-01-05 12:14:16,1,1
413,58,48,3,111,Missing Part,MIS-3830,Clip not installed,Minor,2024-01-05 11:57:09,1,1
414,58,39,1,207,Fit/Finish,FIT-1413,Door sag,Moderate,2024-01-05 11:55:40,1,1
415,58,41,2,50,Fit/Finish,FIT-9204,Door sag,Major,2024-01-05 10:49:03,1,1
416,58,46,2,166,Missing Part,MIS-5998,Component missing,Moderate,2024-01-05 06:33:43,0,0
417,59,44,2,172,Missing Part,MIS-5695,Clip not installed,Major,2024-01-05 18:12:59,1,0
418,59,47,1,210,Torque,TRQ-4179,Under-torque,Minor,2024-01-05 15:13:14,1,1
419,59,46,1,179,Torque,TRQ-2115,Over-torque,Minor,2024-01-05 20:13:38,1,1
420,59,41,2,230,Torque,TRQ-2995,Over-torque,Minor,2024-01-05 18:58:08,1,1
421,59,47,1,276,Fluid Leak,LKG-9118,Fuel system leak,Minor,2024-01-05 17:26:30,1,1
422,59,39,3,17,Cosmetic,COS-8968,Dent,Moderate,2024-01-05 17:06:15,1,1
423,59,46,3,169,Fluid Leak,LKG-6518,Oil leak,Moderate,2024-01-05 15:21:53,1,1
424,59,49,2,96,Electrical,ELC-4056,Connector fault,Minor,2024-01-05 16:49:26,1,1
425,59,42,1,275,Missing Part,MIS-4847,Fastener missing,Minor,2024-01-05 19:04:46,1,1
426,59,48,1,46,Missing Part,MIS-2818,Fastener missing,Minor,2024-01-05 19:31:11,1,1
427,60,44,1,181,Electrical,ELC-5340,Connector fault,Moderate,2024-01-06 02:16:50,0,0
428,60,42,3,219,Torque,TRQ-6847,Over-torque,Moderate,2024-01-05 23:46:51,0,0
429,60,46,2,87,Missing Part,MIS-8442,Fastener missing,Minor,2024-01-05 22:58:00,1,1
430,60,40,2,39,Torque,TRQ-4651,Under-torque,Moderate,2024-01-06 03:22:23,1,1
431,60,37,1,233,Fit/Finish,FIT-1820,Flush issue,Minor,2024-01-05 23:19:17,1,1
432,60,37,2,13,Cosmetic,COS-5696,Dent,Minor,2024-01-06 04:17:55,1,1
433,61,1,1,290,Weld Defect,WLD-9242,Crack in weld,Major,2024-01-08 07:55:13,0,0
434,61,6,2,10,Fit/Finish,FIT-9250,Door sag,Minor,2024-01-08 11:34:49,1,1
435,61,1,1,171,Cosmetic,COS-1439,Scuff mark,Minor,2024-01-08 12:09:38,1,1
436,61,9,2,212,Weld Defect,WLD-3459,Porosity,Moderate,2024-01-08 06:22:54,0,0
437,61,10,1,100,Fit/Finish,FIT-2585,Flush issue,Major,2024-01-08 08:17:11,1,1
438,61,5,3,133,Weld Defect,WLD-5074,Weld spatter,Moderate,2024-01-08 08:49:22,1,0
439,61,2,1,126,Weld Defect,WLD-9582,Porosity,Major,2024-01-08 10:39:14,1,1
440,61,10,1,309,Weld Defect,WLD-1548,Porosity,Moderate,2024-01-08 09:30:47,1,1
441,62,3,1,90,Fit/Finish,FIT-3099,Gap too wide,Major,2024-01-08 15:26:10,0,0
442,62,8,1,115,Cosmetic,COS-4861,Scratch,Moderate,2024-01-08 16:06:21,1,1
443,62,9,2,149,Weld Defect,WLD-8989,Porosity,Moderate,2024-01-08 15:37:31,1,1
444,63,5,2,80,Fit/Finish,FIT-3068,Door sag,Minor,2024-01-09 04:11:14,1,1
445,63,10,3,96,Fit/Finish,FIT-9312,Panel misalignment,Minor,2024-01-09 02:13:17,1,1
446,63,11,3,132,Fit/Finish,FIT-8285,Panel misalignment,Moderate,2024-01-09 04:12:40,1,1
447,63,9,2,151,Fit/Finish,FIT-7828,Flush issue,Minor,2024-01-09 02:02:09,1,0
448,63,5,2,98,Weld Defect,WLD-3384,Porosity,Moderate,2024-01-08 22:23:59,1,0
449,63,7,1,189,Fit/Finish,FIT-3377,Panel misalignment,Moderate,2024-01-09 02:20:25,1,1
450,63,1,2,83,Weld Defect,WLD-6682,Porosity,Minor,2024-01-09 01:52:32,1,1
451,63,6,2,75,Fit/Finish,FIT-3110,Door sag,Moderate,2024-01-09 00:30:40,1,1
452,63,11,3,41,Weld Defect,WLD-2005,Crack in weld,Moderate,2024-01-08 23:06:27,1,1
453,64,13,1,76,Cosmetic,COS-9331,Stain,Moderate,2024-01-08 06:59:15,0,0
454,64,14,2,122,Cosmetic,COS-8231,Dent,Major,2024-01-08 06:58:30,1,1
455,64,20,1,271,Cosmetic,COS-3075,Stain,Major,2024-01-08 11:06:27,1,0
456,64,16,1,96,Paint Defect,PNT-1101,Orange peel,Minor,2024-01-08 10:33:18,1,1
457,64,18,3,195,Paint Defect,PNT-5975,Orange peel,Moderate,2024-01-08 06:11:18,1,1
458,64,17,1,263,Paint Defect,PNT-6140,Color mismatch,Moderate,2024-01-08 06:50:05,1,1
459,64,19,1,240,Cosmetic,COS-3531,Stain,Minor,2024-01-08 07:41:55,1,1
460,64,18,2,44,Paint Defect,PNT-7897,Overspray,Minor,2024-01-08 06:46:19,1,1
461,65,20,1,64,Paint Defect,PNT-2948,Dirt inclusion,Minor,2024-01-08 20:44:46,1,1
462,65,22,3,283,Cosmetic,COS-3123,Scratch,Minor,2024-01-08 20:52:59,1,1
463,65,16,1,93,Cosmetic,COS-9479,Scuff mark,Moderate,2024-01-08 17:10:50,1,1
464,65,18,3,166,Cosmetic,COS-3256,Scratch,Minor,2024-01-08 15:53:52,1,1
465,65,21,3,122,Cosmetic,COS-4443,Stain,Major,2024-01-08 16:57:02,0,0
466,66,15,1,67,Paint Defect,PNT-5828,Orange peel,Major,2024-01-09 03:04:40,1,0
467,66,16,2,285,Paint Defect,PNT-5724,Dirt inclusion,Moderate,2024-01-09 03:58:26,1,1
468,66,17,1,84,Cosmetic,COS-6368,Dent,Moderate,2024-01-09 01:18:23,1,1
469,66,18,1,176,Cosmetic,COS-1316,Dent,Moderate,2024-01-08 23:20:29,0,0
470,66,19,3,81,Cosmetic,COS-1484,Stain,Minor,2024-01-09 00:05:04,1,0
471,66,19,3,123,Cosmetic,COS-5626,Scuff mark,Moderate,2024-01-09 01:21:56,1,1
472,66,13,1,265,Paint Defect,PNT-8667,Dirt inclusion,Minor,2024-01-09 04:02:30,1,1
473,66,14,3,178,Paint Defect,PNT-1027,Orange peel,Major,2024-01-09 01:18:54,0,0
474,67,31,1,167,Missing Part,MIS-3626,Component missing,Moderate,2024-01-08 06:39:53,1,1
475,67,28,2,181,Cosmetic,COS-5366,Scratch,Moderate,2024-01-08 08:14:43,1,1
476,67,30,1,220,Torque,TRQ-2452,Under-torque,Major,2024-01-08 12:03:31,1,1
477,67,34,2,218,Fit/Finish,FIT-3875,Gap too wide,Minor,2024-01-08 09:09:58,1,1
478,67,34,2,256,Fit/Finish,FIT-7922,Panel misalignment,Moderate,2024-01-08 07:21:14,1,1
479,67,23,1,316,Fit/Finish,FIT-6931,Flush issue,Minor,2024-01-08 10:30:36,1,1
480,67,29,2,225,Missing Part,MIS-9892,Component missing,Moderate,2024-01-08 08:02:51,1,1
481,67,24,1,134,Electrical,ELC-4495,Module not responding,Minor,2024-01-08 10:41:35,1,1
482,68,25,2,35,Electrical,ELC-8393,Module not responding,Moderate,2024-01-08 17:29:01,1,1
483,68,30,2,114,Torque,TRQ-9181,Under-torque,Moderate,2024-01-08 19:08:12,0,0
484,68,27,1,224,Cosmetic,COS-5007,Scuff mark,Moderate,2024-01-08 16:46:14,1,1
485,68,29,3,34,Missing Part,MIS-8557,Fastener missing,Major,2024-01-08 17:52:42,0,0
486,68,29,3,267,Cosmetic,COS-8162,Dent,Minor,2024-01-08 17:40:01,1,1
487,68,24,3,313,Fit/Finish,FIT-9069,Flush issue,Minor,2024-01-08 20:05:52,1,1
488,68,29,1,179,Torque,TRQ-2511,Under-torque,Minor,2024-01-08 17:05:45,1,1
489,68,25,2,27,Torque,TRQ-9598,Over-torque,Minor,2024-01-08 14:40:50,1,1
490,68,30,2,119,Missing Part,MIS-9177,Clip not installed,Minor,2024-01-08 16:46:58,1,1
491,68,30,3,221,Torque,TRQ-6423,Over-torque,Minor,2024-01-08 19:18:41,1,1
492,68,35,2,188,Torque,TRQ-8864,Under-torque,Major,2024-01-08 15:34:54,0,0
493,68,35,3,164,Missing Part,MIS-9132,Component missing,Major,2024-01-08 20:12:34,1,1
494,69,27,1,37,Cosmetic,COS-4314,Scratch,Minor,2024-01-09 04:31:32,1,1
495,69,28,3,75,Torque,TRQ-3857,Over-torque,Minor,2024-01-09 04:40:52,1,1
496,69,34,1,5,Missing Part,MIS-3909,Fastener missing,Minor,2024-01-09 00:52:46,1,0
497,69,30,1,315,Fit/Finish,FIT-3295,Gap too wide,Minor,2024-01-08 22:11:04,1,1
498,69,25,1,247,Cosmetic,COS-5799,Scratch,Moderate,2024-01-08 22:33:24,1,1
499,69,33,2,318,Missing Part,MIS-5384,Clip not installed,Minor,2024-01-09 03:37:31,1,1
500,69,36,3,76,Fit/Finish,FIT-6109,Gap too wide,Minor,2024-01-09 04:49:35,1,0
501,70,42,1,290,Electrical,ELC-5232,Module not responding,Major,2024-01-08 10:44:46,0,0
502,70,38,1,77,Fit/Finish,FIT-7177,Panel misalignment,Moderate,2024-01-08 11:19:21,0,0
503,70,43,2,91,Fluid Leak,LKG-4322,Oil leak,Moderate,2024-01-08 10:19:43,0,0
504,70,40,3,292,Torque,TRQ-6971,Over-torque,Minor,2024-01-08 11:01:11,1,1
505,70,44,1,195,Fit/Finish,FIT-2092,Door sag,Major,2024-01-08 07:01:22,1,1
506,70,48,1,176,Electrical,ELC-5608,Wire harness damage,Major,2024-01-08 11:17:52,0,0
507,70,39,2,119,Fit/Finish,FIT-9850,Gap too wide,Moderate,2024-01-08 07:58:34,1,0
508,70,48,1,86,Fit/Finish,FIT-4150,Panel misalignment,Minor,2024-01-08 08:22:13,1,1
509,70,46,3,118,Fit/Finish,FIT-3907,Panel misalignment,Major,2024-01-08 12:20:30,0,0
510,70,42,1,161,Electrical,ELC-6020,Connector fault,Minor,2024-01-08 10:59:17,1,1
511,71,44,2,25,Fluid Leak,LKG-8974,Oil leak,Moderate,2024-01-08 15:09:15,1,0
512,71,44,2,10,Missing Part,MIS-3656,Fastener missing,Minor,2024-01-08 14:14:37,1,1
513,71,39,2,23,Cosmetic,COS-3282,Scratch,Moderate,2024-01-08 15:26:28,0,0
514,71,45,1,17,Fit/Finish,FIT-9712,Door sag,Moderate,2024-01-08 19:57:07,1,1
515,71,46,2,260,Torque,TRQ-8273,Under-torque,Minor,2024-01-08 18:18:36,1,1
516,72,42,1,78,Fit/Finish,FIT-5946,Flush issue,Minor,2024-01-09 02:49:40,1,0
517,72,45,2,35,Cosmetic,COS-9787,Dent,Major,2024-01-09 02:59:49,0,0
518,72,49,1,280,Torque,TRQ-1436,Under-torque,Minor,2024-01-09 01:47:49,1,1
519,72,47,1,143,Missing Part,MIS-4265,Clip not installed,Moderate,2024-01-08 23:39:38,0,0
520,72,38,1,197,Fit/Finish,FIT-6786,Panel misalignment,Minor,2024-01-09 03:54:37,1,1
521,72,37,2,47,Torque,TRQ-9150,Under-torque,Moderate,2024-01-09 01:21:50,1,1
522,72,43,2,142,Electrical,ELC-9944,Connector fault,Minor,2024-01-08 22:06:36,1,1
523,72,40,3,202,Fit/Finish,FIT-1160,Panel misalignment,Minor,2024-01-08 22:48:45,1,1
524,72,38,3,203,Cosmetic,COS-3100,Stain,Minor,2024-01-09 00:50:51,1,1
525,72,41,3,30,Fluid Leak,LKG-5694,Fuel system leak,Major,2024-01-09 03:25:40,0,0
526,73,1,3,205,Cosmetic,COS-9100,Stain,Minor,2024-01-09 08:16:16,1,1
527,73,10,2,309,Cosmetic,COS-9240,Scuff mark,Minor,2024-01-09 06:20:56,1,1
528,73,2,2,138,Weld Defect,WLD-3540,Incomplete weld,Moderate,2024-01-09 08:00:27,1,0
529,73,11,3,143,Fit/Finish,FIT-9698,Flush issue,Major,2024-01-09 12:25:44,0,0
530,73,7,1,88,Cosmetic,COS-1528,Scratch,Minor,2024-01-09 08:23:39,1,1
531,73,3,2,217,Fit/Finish,FIT-1909,Gap too wide,Moderate,2024-01-09 07:53:30,1,0
532,74,7,2,249,Cosmetic,COS-8922,Dent,Moderate,2024-01-09 14:51:23,1,0
533,74,5,3,39,Fit/Finish,FIT-2701,Flush issue,Minor,2024-01-09 20:24:07,1,1
534,74,1,2,139,Cosmetic,COS-2195,Stain,Major,2024-01-09 17:53:48,1,1
535,74,1,1,164,Weld Defect,WLD-7938,Incomplete weld,Moderate,2024-01-09 18:06:04,1,1
536,74,3,1,27,Fit/Finish,FIT-2876,Gap too wide,Moderate,2024-01-09 18:15:36,1,0
537,74,5,2,69,Cosmetic,COS-6879,Stain,Moderate,2024-01-09 20:34:48,1,1
538,74,4,2,203,Fit/Finish,FIT-3848,Gap too wide,Moderate,2024-01-09 19:08:51,1,1
539,75,7,3,55,Fit/Finish,FIT-2931,Flush issue,Moderate,2024-01-09 23:10:28,1,1
540,75,9,1,278,Weld Defect,WLD-9128,Incomplete weld,Minor,2024-01-09 22:06:34,1,1
541,75,1,1,145,Fit/Finish,FIT-8074,Door sag,Moderate,2024-01-09 23:34:10,1,1
542,75,4,3,148,Cosmetic,COS-1898,Scuff mark,Moderate,2024-01-10 03:44:11,0,0
543,75,7,1,100,Weld Defect,WLD-5164,Incomplete weld,Moderate,2024-01-09 22:21:57,1,1
544,75,4,3,189,Fit/Finish,FIT-2318,Flush issue,Minor,2024-01-10 01:45:18,1,0
545,75,6,1,127,Weld Defect,WLD-9452,Weld spatter,Major,2024-01-10 02:33:22,1,1
546,75,2,3,271,Weld Defect,WLD-5913,Crack in weld,Major,2024-01-10 04:59:09,0,0
547,75,6,3,70,Fit/Finish,FIT-3466,Flush issue,Critical,2024-01-10 00:05:32,0,0
